fishery,management_area,target,opening_year,sex,legal_status,size,new,old,total
QO19,bering_sea,snow_crab,2019,male,TRUE,121,727,138,865
QO19,bering_sea,snow_crab,2019,male,TRUE,122,618,123,741
QO19,bering_sea,snow_crab,2019,male,TRUE,123,524,119,643
QO19,bering_sea,snow_crab,2019,male,TRUE,124,527,98,625
QO19,bering_sea,snow_crab,2019,male,TRUE,125,431,92,523
QO19,bering_sea,snow_crab,2019,male,TRUE,126,294,80,374
QO19,bering_sea,snow_crab,2019,male,TRUE,127,282,75,357
QO19,bering_sea,snow_crab,2019,male,TRUE,128,244,60,304
QO19,bering_sea,snow_crab,2019,male,TRUE,129,159,30,189
QO19,bering_sea,snow_crab,2019,male,TRUE,130,141,27,168
QO19,bering_sea,snow_crab,2019,male,TRUE,131,101,33,134
QO19,bering_sea,snow_crab,2019,male,TRUE,132,70,20,90
QO19,bering_sea,snow_crab,2019,male,TRUE,133,84,17,101
QO19,bering_sea,snow_crab,2019,male,TRUE,134,65,10,75
QO19,bering_sea,snow_crab,2019,male,TRUE,135,34,10,44
QO19,bering_sea,snow_crab,2019,male,TRUE,136,31,7,38
QO19,bering_sea,snow_crab,2019,male,TRUE,137,24,1,25
QO19,bering_sea,snow_crab,2019,male,TRUE,138,7,1,8
QO19,bering_sea,snow_crab,2019,male,TRUE,139,4,3,7
QO19,bering_sea,snow_crab,2019,male,TRUE,140,6,2,8
QO19,bering_sea,snow_crab,2019,male,TRUE,141,3,1,4
QO19,bering_sea,snow_crab,2019,male,TRUE,142,5,0,5
QO19,bering_sea,snow_crab,2019,male,TRUE,143,2,0,2
QO19,bering_sea,snow_crab,2019,male,TRUE,144,2,0,2
QO19,bering_sea,snow_crab,2019,male,TRUE,145,3,1,4
QO19,bering_sea,snow_crab,2019,male,TRUE,146,0,1,1
QO19,bering_sea,snow_crab,2019,male,TRUE,148,1,0,1
QO19,bering_sea,snow_crab,2019,male,TRUE,160,1,0,1
QO19,bering_sea,snow_crab,2019,male,TRUE,192,1,0,1
QO19,bering_sea,snow_crab,2019,male,TRUE,198,1,0,1
QO19,bering_sea,snow_crab,2019,male,TRUE,199,1,0,1
QO19,bering_sea,snow_crab,2019,female,FALSE,48,0,1,1
QO19,bering_sea,snow_crab,2019,female,FALSE,49,0,1,1
QO19,bering_sea,snow_crab,2019,female,FALSE,50,0,2,2
QO19,bering_sea,snow_crab,2019,female,FALSE,52,2,2,4
QO19,bering_sea,snow_crab,2019,female,FALSE,53,0,4,4
QO19,bering_sea,snow_crab,2019,female,FALSE,54,0,9,9
QO19,bering_sea,snow_crab,2019,female,FALSE,55,0,17,17
QO19,bering_sea,snow_crab,2019,female,FALSE,56,3,19,22
QO19,bering_sea,snow_crab,2019,female,FALSE,57,5,26,31
QO19,bering_sea,snow_crab,2019,female,FALSE,58,5,30,35
QO19,bering_sea,snow_crab,2019,female,FALSE,59,9,31,40
QO19,bering_sea,snow_crab,2019,female,FALSE,60,13,47,60
QO19,bering_sea,snow_crab,2019,female,FALSE,61,12,47,59
QO19,bering_sea,snow_crab,2019,female,FALSE,62,24,55,79
QO19,bering_sea,snow_crab,2019,female,FALSE,63,32,64,96
QO19,bering_sea,snow_crab,2019,female,FALSE,64,28,81,109
QO19,bering_sea,snow_crab,2019,female,FALSE,65,30,69,99
QO19,bering_sea,snow_crab,2019,female,FALSE,66,37,70,107
QO19,bering_sea,snow_crab,2019,female,FALSE,67,23,81,104
QO19,bering_sea,snow_crab,2019,female,FALSE,68,11,54,65
QO19,bering_sea,snow_crab,2019,female,FALSE,69,11,29,40
QO19,bering_sea,snow_crab,2019,female,FALSE,70,11,21,32
QO19,bering_sea,snow_crab,2019,female,FALSE,71,3,11,14
QO19,bering_sea,snow_crab,2019,female,FALSE,72,3,10,13
QO19,bering_sea,snow_crab,2019,female,FALSE,73,1,10,11
QO19,bering_sea,snow_crab,2019,female,FALSE,74,0,6,6
QO19,bering_sea,snow_crab,2019,female,FALSE,75,1,5,6
QO19,bering_sea,snow_crab,2019,female,FALSE,76,0,2,2
QO19,bering_sea,snow_crab,2019,female,FALSE,77,0,3,3
QO19,bering_sea,snow_crab,2019,female,FALSE,78,0,4,4
QO19,bering_sea,snow_crab,2019,female,FALSE,79,0,1,1
QO19,bering_sea,snow_crab,2019,female,FALSE,81,0,1,1
QO19,bering_sea,snow_crab,2019,female,FALSE,82,0,2,2
QO19,bering_sea,snow_crab,2019,female,FALSE,83,0,1,1
QO19,bering_sea,snow_crab,2019,female,FALSE,84,0,1,1
QO19,bering_sea,snow_crab,2019,female,FALSE,86,1,1,2
QO19,bering_sea,snow_crab,2019,female,FALSE,91,0,1,1
QO19,bering_sea,snow_crab,2019,female,FALSE,92,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,FALSE,70,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,FALSE,74,1,0,1
TR19,bristol_bay,red_king_crab,2019,male,FALSE,76,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,81,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,82,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,83,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,84,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,85,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,87,0,2,2
TR19,bristol_bay,red_king_crab,2019,male,TRUE,90,1,0,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,91,1,0,1
